| Source IP       | Source Port | Destination IP  | Destination Port | Protocol  | TTL | Length | Packet Type  | TCP Flags   |
| 192.168.163.131 | 59074       | 157.240.227.60  | 5222             | TCP       | 64  | 40     | TCP          | FIN,ACK     |
| 157.240.227.60  | 5222        | 192.168.163.131 | 59074            | TCP       | 128 | 40     | TCP          | ACK         |
| 157.240.227.60  | 5222        | 192.168.163.131 | 59074            | TCP       | 128 | 40     | TCP          | ACK         |
| 157.240.227.60  | 5222        | 192.168.163.131 | 59074            | TCP       | 128 | 64     | TCP          | FIN,PSH,ACK |
| 192.168.163.131 | 59074       | 157.240.227.60  | 5222             | TCP       | 64  | 40     | TCP          | RST         |
| 192.168.163.131 | 33028       | 57.144.149.32   | 443              | TCP       | 64  | 79     | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 33028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 33028       | 57.144.149.32   | 443              | TCP       | 64  | 64     | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 33028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | FIN,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 33028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 33028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 33028            | TCP       | 128 | 103    | HTTPS        | FIN,PSH,ACK |
| 192.168.163.131 | 33028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | RST         |
| 192.168.163.131 | 37872       | 157.240.227.60  | 443              | TCP       | 64  | 68     | HTTPS        | PSH,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 37872            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 42873       | 192.168.163.2   | 53               | UDP       | 64  | 62     | DNS          |             |
| 192.168.163.2   | 53          | 192.168.163.131 | 42873            | UDP       | 128 | 131    | DNS          |             |
| 192.168.163.131 | 46727       | 192.168.163.2   | 53               | UDP       | 64  | 62     | DNS          |             |
| 192.168.163.2   | 53          | 192.168.163.131 | 46727            | UDP       | 128 | 159    | DNS          |             |
| 192.168.163.131 | 53323       | 57.144.149.32   | 443              | UDP       | 64  | 1385   | UDP          |             |
| 192.168.163.131 | 53323       | 57.144.149.32   | 443              | UDP       | 64  | 344    | UDP          |             |
| 192.168.163.131 | 49006       | 57.144.149.32   | 443              | TCP       | 64  | 60     | HTTPS        | SYN         |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 1260   | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 108    | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 49006            | TCP       | 128 | 44     | HTTPS        | SYN,ACK     |
| 192.168.163.131 | 49006       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 53323       | 57.144.149.32   | 443              | UDP       | 64  | 68     | UDP          |             |
| 192.168.163.131 | 49006       | 57.144.149.32   | 443              | TCP       | 64  | 1077   | HTTPS        | PSH,ACK     |
