Source IP,Source Port,Destination IP,Destination Port,Protocol,TTL,Length,Packet Type,TCP Flags
127.0.0.1,43777,127.0.0.1,8701,TCP,58,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,8701,TCP,58,44,TCP,SYN
127.0.0.1,8701,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,8701,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,6059,TCP,45,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,6059,TCP,45,44,TCP,SYN
127.0.0.1,6059,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,6059,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1093,TCP,50,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,1093,TCP,50,44,TCP,SYN
127.0.0.1,1093,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,1093,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1187,TCP,42,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,1187,TCP,42,44,TCP,SYN
127.0.0.1,1187,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,1187,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1105,TCP,48,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,2103,TCP,53,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,2103,TCP,53,44,TCP,SYN
127.0.0.1,2103,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,2103,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1594,TCP,59,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,1594,TCP,59,44,TCP,SYN
127.0.0.1,1594,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,1594,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1862,TCP,53,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,1862,TCP,53,44,TCP,SYN
127.0.0.1,1862,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,1862,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,8300,TCP,41,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,8300,TCP,41,44,TCP,SYN
127.0.0.1,8300,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,8300,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1075,TCP,49,44,TCP,SYN
